date	id	rank	name	mass	station_de
2026-09-16	after_pentecost_16_wednesday	primary	time_after_pentecost.weekday (Sept Ember wednesday)		Groß St. Marien
2026-09-16	cornelius_i_pope_and_cyprian_of_carthage_bishop_martyrs	primary	cornelius_i_pope_and_cyprian_of_carthage_bishop_martyrs
2026-09-16	saints_cornelius_pope_and_cyprian_bishop_martyrs	commemoration	saints_cornelius_pope_and_cyprian_bishop_martyrs
2026-09-18	after_pentecost_16_friday	primary	time_after_pentecost.weekday (Sept Ember friday)		Zu den heiligen Zwölf Aposteln
2026-09-18	saint_joseph_of_cupertino_confessor	primary	saint_joseph_of_cupertino_confessor
2026-09-19	after_pentecost_16_saturday	primary	time_after_pentecost.weekday (Sept Ember saturday)		St. Peter
2026-09-19	saint_januarius_bishop_and_companions_martyrs	primary	saint_januarius_bishop_and_companions_martyrs
2026-11-01	all_saints	primary	all_saints		St. Maria bei den Märtyrern
2026-11-29	advent_1_sunday	primary	advent.sunday		Groß St. Marien
2026-12-06	advent_2_sunday	primary	advent.sunday		Zum hl. Kreuz in Jerusalem
2026-12-13	advent_3_sunday	primary	advent.sunday		St. Peter
2026-12-16	advent_3_wednesday	primary	advent.weekday		Groß St. Marien
2026-12-16	advent_3_friday	primary	advent.weekday		Zu den heiligen Zwölf Aposteln
2026-12-16	advent_3_saturday	primary	advent.weekday		St. Peter
2026-12-17	advent_december_17	primary	advent.privileged_weekday
2026-12-18	advent_december_18	primary	advent.privileged_weekday
2026-12-19	advent_december_19	primary	advent.privileged_weekday
2026-12-20	advent_4_sunday	primary	advent.sunday		Zu den heiligen Zwölf Aposteln
2026-12-21	advent_december_21	primary	advent.privileged_weekday
2026-12-22	advent_december_22	primary	advent.privileged_weekday
2026-12-23	advent_december_23	primary	advent.privileged_weekday
2026-12-24	christmas_eve	primary	christmas_eve		Groß St. Marien
2026-12-25	nativity_of_the_lord	primary	nativity_of_the_lord	in_nocte	Groß St. Marien bei der Krippe
2026-12-25	nativity_of_the_lord	primary	nativity_of_the_lord	in_aurora	St. Anastasia
2026-12-25	nativity_of_the_lord	primary	nativity_of_the_lord	in_die	Groß St. Marien
2026-12-25	nativity_of_our_lord_jesus_christ	commemoration	nativity_of_our_lord_jesus_christ	in_nocte	Groß St. Marien bei der Krippe
2026-12-25	nativity_of_our_lord_jesus_christ	commemoration	nativity_of_our_lord_jesus_christ	in_aurora	St. Anastasia
2026-12-25	nativity_of_our_lord_jesus_christ	commemoration	nativity_of_our_lord_jesus_christ	in_die	Groß St. Marien
2026-12-26	christmas_octave_day_2	primary	christmas_time.octave		St. Stephanus auf dem Mons Cælius
2026-12-26	saint_stephen_the_first_martyr	commemoration	saint_stephen_the_first_martyr		St. Stephanus auf dem Mons Cælius
2026-12-27	sunday_within_octave_of_christmas	primary	sunday_within_octave_of_christmas
2026-12-27	saint_john_the_apostle_evangelist	commemoration	saint_john_the_apostle_evangelist		Groß St. Marien
2026-12-28	christmas_octave_day_4	primary	christmas_time.octave		St. Paul vor den Mauern
2026-12-28	4th_day_in_the_octave_of_christmas_rubrica1960	commemoration	4th_day_in_the_octave_of_christmas_rubrica1960		St. Paul vor den Mauern
